ResponseTimestamp,VehicleRef,Latitude,Longitude,Destination,Origin
2024-05-08T19:01:44.722-04:00,MTA NYCT_9417,40.746843,-73.984786,MIDTOWN  32 ST & 5 AV via BWAY 5 AV,MTA_403835
2024-05-08T19:01:44.722-04:00,MTA NYCT_9447,40.859018,-73.93425,LTD WASH HTS CABRINI  via MADSN via BWAY,MTA_400353
2024-05-08T19:01:44.722-04:00,MTA NYCT_9637,40.859018,-73.93425,LTD WASH HTS CABRINI  via MADSN via BWAY,MTA_400353
2024-05-08T19:01:44.722-04:00,MTA NYCT_9864,40.746843,-73.984786,MIDTOWN  32 ST & 5 AV via BWAY 5 AV,MTA_403835
2024-05-08T19:01:44.722-04:00,MTA NYCT_9597,40.791189,-73.951266,WSHNGTN HTS CABRINI via MADISON via BWAY,MTA_400353
2024-05-08T19:01:44.722-04:00,MTA NYCT_9853,40.832701,-73.945971,BROADWAY-135 ST,MTA_400639
2024-05-08T19:01:44.722-04:00,MTA NYCT_9434,40.820412,-73.954714,WSHNGTN HTS CABRINI via MADISON via BWAY,MTA_400353
2024-05-08T19:01:44.722-04:00,MTA NYCT_9895,40.767626,-73.968458,WSHNGTN HTS CABRINI via MADISON via BWAY,MTA_400353
2024-05-08T19:01:44.722-04:00,MTA NYCT_9600,40.758301,-73.977359,MIDTOWN  32 ST & 5 AV via BWAY 5 AV,MTA_403835
2024-05-08T19:01:44.722-04:00,MTA NYCT_9862,40.851114,-73.938204,BROADWAY-135 ST,MTA_400639
2024-05-08T19:01:44.722-04:00,MTA NYCT_9785,40.820203,-73.954866,WSHNGTN HTS CABRINI via MADISON via BWAY,MTA_400353
2024-05-08T19:01:44.722-04:00,MTA NYCT_9431,40.856846,-73.935789,WSHNGTN HTS CABRINI via MADISON via BWAY,MTA_400353
2024-05-08T19:01:44.722-04:00,MTA NYCT_9773,40.834864,-73.944396,BROADWAY-135 ST,MTA_400639
2024-05-08T19:01:44.722-04:00,MTA NYCT_9602,40.849923,-73.938675,MIDTOWN  32 ST & 5 AV via BWAY 5 AV,MTA_400639
2024-05-08T19:01:44.722-04:00,MTA NYCT_9790,40.800464,-73.957834,WSHNGTN HTS CABRINI via MADISON via BWAY,MTA_400353
2024-05-08T19:01:44.722-04:00,MTA NYCT_9457,40.751648,-73.982223,MIDTOWN  32 ST & 5 AV via BWAY 5 AV,MTA_403835
2024-05-08T19:01:44.722-04:00,MTA NYCT_9460,40.767083,-73.968858,WSHNGTN HTS CABRINI via MADISON via BWAY,MTA_400353
