ResponseTimestamp,VehicleRef,Latitude,Longitude,Destination,Origin
2024-05-08T15:00:58.134-04:00,MTA NYCT_9616,40.746843,-73.984786,MIDTOWN  32 ST & 5 AV via BWAY 5 AV,MTA_403835
2024-05-08T15:00:58.134-04:00,MTA NYCT_9871,40.826692,-73.950369,MIDTOWN  32 ST & 5 AV via BWAY 5 AV,MTA_403835
2024-05-08T15:00:58.134-04:00,MTA NYCT_9894,40.856814,-73.935813,MIDTOWN  32 ST & 5 AV via BWAY 5 AV,MTA_403835
2024-05-08T15:00:58.134-04:00,MTA NYCT_9423,40.764477,-73.972868,MIDTOWN  32 ST & 5 AV via BWAY 5 AV,MTA_403835
2024-05-08T15:00:58.134-04:00,MTA NYCT_9431,40.844522,-73.940856,MIDTOWN  32 ST & 5 AV via BWAY 5 AV,MTA_403835
2024-05-08T15:00:58.134-04:00,MTA NYCT_9790,40.832893,-73.945594,WSHNGTN HTS CLOISTRS via MADISN via BWAY,MTA_400353
2024-05-08T15:00:58.134-04:00,MTA NYCT_9460,40.786964,-73.954358,WSHNGTN HTS CLOISTRS via MADISN via BWAY,MTA_400353
2024-05-08T15:00:58.134-04:00,MTA NYCT_9744,40.747002,-73.985166,MIDTOWN  32 ST & 5 AV via BWAY 5 AV,MTA_403835
2024-05-08T15:00:58.134-04:00,MTA NYCT_9597,40.807669,-73.964026,WSHNGTN HTS CLOISTRS via MADISN via BWAY,MTA_400353
2024-05-08T15:00:58.134-04:00,MTA NYCT_9844,40.788098,-73.953523,WSHNGTN HTS CLOISTRS via MADISN via BWAY,MTA_400353
2024-05-08T15:00:58.134-04:00,MTA NYCT_9869,40.844924,-73.940692,MIDTOWN  32 ST & 5 AV via BWAY 5 AV,MTA_403835
2024-05-08T15:00:58.134-04:00,MTA NYCT_9895,40.796638,-73.948743,WSHNGTN HTS CLOISTRS via MADISN via BWAY,MTA_400353
2024-05-08T15:00:58.134-04:00,MTA NYCT_9900,40.799561,-73.955624,MIDTOWN  32 ST & 5 AV via BWAY 5 AV,MTA_403835
2024-05-08T15:00:58.134-04:00,MTA NYCT_9637,40.864404,-73.931244,WSHNGTN HTS CLOISTRS via MADISN via BWAY,MTA_903236
2024-05-08T15:00:58.134-04:00,MTA NYCT_9761,40.84602,-73.940244,WSHNGTN HTS CLOISTRS via MADISN via BWAY,MTA_400353
2024-05-08T15:00:58.134-04:00,MTA NYCT_9853,40.799671,-73.955894,MIDTOWN  32 ST & 5 AV via BWAY 5 AV,MTA_403835
2024-05-08T15:00:58.134-04:00,MTA NYCT_9768,40.750415,-73.983124,MIDTOWN  32 ST & 5 AV via BWAY 5 AV,MTA_403835
2024-05-08T15:00:58.134-04:00,MTA NYCT_9884,40.787497,-73.956054,MIDTOWN  32 ST & 5 AV via BWAY 5 AV,MTA_403835
2024-05-08T15:00:58.134-04:00,MTA NYCT_9815,40.808967,-73.963321,MIDTOWN  32 ST & 5 AV via BWAY 5 AV,MTA_403835
2024-05-08T15:00:58.134-04:00,MTA NYCT_9444,40.845581,-73.940423,MIDTOWN  32 ST & 5 AV via BWAY 5 AV,MTA_403835
2024-05-08T15:00:58.134-04:00,MTA NYCT_9862,40.824117,-73.952233,MIDTOWN  32 ST & 5 AV via BWAY 5 AV,MTA_403835
2024-05-08T15:00:58.134-04:00,MTA NYCT_9809,40.757223,-73.978146,MIDTOWN  32 ST & 5 AV via BWAY 5 AV,MTA_403835
2024-05-08T15:00:58.134-04:00,MTA NYCT_9785,40.848017,-73.939457,WSHNGTN HTS CLOISTRS via MADISN via BWAY,MTA_400353
2024-05-08T15:00:58.134-04:00,MTA NYCT_9434,40.864034,-73.93165,WSHNGTN HTS CLOISTRS via MADISN via BWAY,MTA_903236
2024-05-08T15:00:58.134-04:00,MTA NYCT_9899,40.779772,-73.961701,MIDTOWN  32 ST & 5 AV via BWAY 5 AV,MTA_403835
2024-05-08T15:00:58.134-04:00,MTA NYCT_9602,40.811578,-73.961424,MIDTOWN  32 ST & 5 AV via BWAY 5 AV,MTA_403835
2024-05-08T15:00:58.134-04:00,MTA NYCT_9773,40.819799,-73.955425,MIDTOWN  32 ST & 5 AV via BWAY 5 AV,MTA_403835
